model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis
gsi_elo_bt_w0,0.7896,0.8376,0.6952,0.0888,0.4536,0.068,0.0398,0.7741,0.9216
gsi_elo_softmax_blade,0.8008,0.804,0.7296,0.052,0.4616,0.0624,0.0368,0.7781,0.9428
gsi_elo_thurstonian,0.7976,0.8088,0.7144,0.0472,0.4968,0.0408,0.0287,0.7736,0.956
