nohup: ignoring input
2026-07-12 14:35:28,924 | INFO | overnight_sweep | [GPU 4] DONE beta=1.3750 temp=12.5000 in 37103.9s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.3750_temp12.5000/run.log
2026-07-12 14:35:28,925 | INFO | overnight_sweep | [GPU 4] START beta=1.7500 temp=15.0000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp15.0000
2026-07-12 14:45:48,072 | INFO | overnight_sweep | [GPU 1] DONE beta=1.3750 temp=15.0000 in 37087.5s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.3750_temp15.0000/run.log
2026-07-12 14:45:48,073 | INFO | overnight_sweep | [GPU 1] START beta=2.1250 temp=10.0000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp10.0000
2026-07-12 14:54:40,764 | INFO | overnight_sweep | [GPU 5] DONE beta=1.7500 temp=10.0000 in 37531.0s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp10.0000/run.log
2026-07-12 14:54:40,765 | INFO | overnight_sweep | [GPU 5] START beta=2.1250 temp=11.2500 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp11.2500
2026-07-12 14:55:34,820 | INFO | overnight_sweep | [GPU 3] DONE beta=1.3750 temp=13.7500 in 37817.0s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.3750_temp13.7500/run.log
2026-07-12 14:55:34,821 | INFO | overnight_sweep | [GPU 3] START beta=2.1250 temp=12.5000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp12.5000
2026-07-12 14:58:51,540 | INFO | overnight_sweep | [GPU 6] DONE beta=1.7500 temp=12.5000 in 37215.7s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp12.5000/run.log
2026-07-12 14:58:51,541 | INFO | overnight_sweep | [GPU 6] START beta=2.1250 temp=13.7500 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp13.7500
2026-07-12 15:06:22,834 | INFO | overnight_sweep | [GPU 7] DONE beta=1.7500 temp=13.7500 in 37452.1s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp13.7500/run.log
2026-07-12 15:06:22,835 | INFO | overnight_sweep | [GPU 7] START beta=2.1250 temp=15.0000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp15.0000
2026-07-12 15:10:58,460 | INFO | overnight_sweep | [GPU 2] DONE beta=1.7500 temp=11.2500 in 38149.5s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp11.2500/run.log
2026-07-12 15:10:58,462 | INFO | overnight_sweep | [GPU 2] START beta=2.5000 temp=10.0000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp10.0000
2026-07-13 00:45:40,056 | INFO | overnight_sweep | [GPU 4] DONE beta=1.7500 temp=15.0000 in 36611.1s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta1.7500_temp15.0000/run.log
2026-07-13 00:45:40,057 | INFO | overnight_sweep | [GPU 4] START beta=2.5000 temp=11.2500 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp11.2500
2026-07-13 01:09:02,046 | INFO | overnight_sweep | [GPU 3] DONE beta=2.1250 temp=12.5000 in 36807.2s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp12.5000/run.log
2026-07-13 01:09:02,047 | INFO | overnight_sweep | [GPU 3] START beta=2.5000 temp=12.5000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp12.5000
2026-07-13 01:10:22,088 | INFO | overnight_sweep | [GPU 5] DONE beta=2.1250 temp=11.2500 in 36941.3s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp11.2500/run.log
2026-07-13 01:10:22,089 | INFO | overnight_sweep | [GPU 5] START beta=2.5000 temp=13.7500 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp13.7500
2026-07-13 01:13:53,685 | INFO | overnight_sweep | [GPU 1] DONE beta=2.1250 temp=10.0000 in 37685.6s (rc=0) — log: /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.1250_temp10.0000/run.log
2026-07-13 01:13:53,686 | INFO | overnight_sweep | [GPU 1] START beta=2.5000 temp=15.0000 -> /LAB/swiss_no_th/swiss-knife-no-threshold/Swiss-Knife/runs/overnight_sweep/grid/beta2.5000_temp15.0000
